1599727851388::TouchData - Username: TEST-1; time_ms: 1599727848147; event: Move; X: 1176.0; Y: 1610.0; Pressure: 0.675; Area: 0.11764706; TouchID: 2

1599727851390::TouchData - Username: TEST-1; time_ms: 1599727848147; event: Move; X: 1176.0; Y: 1610.0; Pressure: 0.675; Area: 0.11764706; TouchID: 2

1599727851392::TouchData - Username: TEST-1; time_ms: 1599727848163; event: Move; X: 1176.0; Y: 1610.0; Pressure: 0.6875; Area: 0.11764706; TouchID: 2

1599727851394::TouchData - Username: TEST-1; time_ms: 1599727848164; event: Move; X: 1176.0; Y: 1610.0; Pressure: 0.6875; Area: 0.11764706; TouchID: 2

1599727851396::TouchData - Username: TEST-1; time_ms: 1599727848180; event: Move; X: 1176.0; Y: 1610.0; Pressure: 0.7; Area: 0.11764706; TouchID: 2

1599727851398::TouchData - Username: TEST-1; time_ms: 1599727848180; event: Move; X: 1176.0; Y: 1610.0; Pressure: 0.7; Area: 0.11764706; TouchID: 2

1599727851400::TouchData - Username: TEST-1; time_ms: 1599727848197; event: Move; X: 1176.0; Y: 1610.0; Pressure: 0.7; Area: 0.13235295; TouchID: 2

1599727851402::TouchData - Username: TEST-1; time_ms: 1599727848230; event: Move; X: 1176.0; Y: 1610.0; Pressure: 0.6625; Area: 0.13235295; TouchID: 2

1599727851403::TouchData - Username: TEST-1; time_ms: 1599727848230; event: Move; X: 1176.0; Y: 1610.0; Pressure: 0.6125; Area: 0.13235295; TouchID: 2

1599727851405::TouchData - Username: TEST-1; time_ms: 1599727848231; event: Move; X: 1176.0; Y: 1610.0; Pressure: 0.6125; Area: 0.13235295; TouchID: 2

1599727851407::TouchData - Username: TEST-1; time_ms: 1599727848235; event: Move; X: 1176.0; Y: 1610.0; Pressure: 0.3625; Area: 0.13235295; TouchID: 2

1599727851409::TouchData - Username: TEST-1; time_ms: 1599727848237; event: Up; X: 1176.0; Y: 1610.0; Pressure: 0.3625; Area: 0.13235295; TouchID: 2

1599727851411::TouchData - Username: TEST-1; time_ms: 1599727849111; event: Down; X: 305.0; Y: 1625.0; Pressure: 0.58750004; Area: 0.13235295; TouchID: 3

1599727851413::TouchData - Username: TEST-1; time_ms: 1599727849147; event: Move; X: 305.0; Y: 1625.0; Pressure: 0.65000004; Area: 0.11764706; TouchID: 3

1599727851415::TouchData - Username: TEST-1; time_ms: 1599727849147; event: Move; X: 305.0; Y: 1625.0; Pressure: 0.6625; Area: 0.11764706; TouchID: 3

1599727851417::TouchData - Username: TEST-1; time_ms: 1599727849147; event: Move; X: 305.0; Y: 1625.0; Pressure: 0.6625; Area: 0.11764706; TouchID: 3

1599727851419::TouchData - Username: TEST-1; time_ms: 1599727849164; event: Move; X: 305.0; Y: 1625.0; Pressure: 0.6875; Area: 0.13235295; TouchID: 3

1599727851421::TouchData - Username: TEST-1; time_ms: 1599727849164; event: Move; X: 305.0; Y: 1625.0; Pressure: 0.725; Area: 0.13235295; TouchID: 3

1599727851424::TouchData - Username: TEST-1; time_ms: 1599727849164; event: Move; X: 305.0; Y: 1625.0; Pressure: 0.725; Area: 0.13235295; TouchID: 3

1599727851426::TouchData - Username: TEST-1; time_ms: 1599727849180; event: Move; X: 305.0; Y: 1625.0; Pressure: 0.7625; Area: 0.13235295; TouchID: 3

1599727851428::TouchData - Username: TEST-1; time_ms: 1599727849180; event: Move; X: 305.0; Y: 1625.0; Pressure: 0.7875; Area: 0.13235295; TouchID: 3

1599727851430::TouchData - Username: TEST-1; time_ms: 1599727849180; event: Move; X: 305.0; Y: 1625.0; Pressure: 0.7875; Area: 0.13235295; TouchID: 3

1599727851432::TouchData - Username: TEST-1; time_ms: 1599727849197; event: Move; X: 305.0; Y: 1625.0; Pressure: 0.8125; Area: 0.13235295; TouchID: 3

1599727851434::TouchData - Username: TEST-1; time_ms: 1599727849197; event: Move; X: 305.0; Y: 1625.0; Pressure: 0.83750004; Area: 0.14705883; TouchID: 3

1599727851436::TouchData - Username: TEST-1; time_ms: 1599727849197; event: Move; X: 305.0; Y: 1625.0; Pressure: 0.83750004; Area: 0.14705883; TouchID: 3

1599727851439::TouchData - Username: TEST-1; time_ms: 1599727849217; event: Move; X: 305.0; Y: 1625.0; Pressure: 0.85; Area: 0.14705883; TouchID: 3

1599727851441::TouchData - Username: TEST-1; time_ms: 1599727849217; event: Move; X: 305.0; Y: 1625.0; Pressure: 0.85; Area: 0.14705883; TouchID: 3

1599727851443::TouchData - Username: TEST-1; time_ms: 1599727849230; event: Move; X: 305.0; Y: 1625.0; Pressure: 0.8625; Area: 0.14705883; TouchID: 3

1599727851445::TouchData - Username: TEST-1; time_ms: 1599727849230; event: Move; X: 305.0; Y: 1625.0; Pressure: 0.8625; Area: 0.14705883; TouchID: 3

1599727851447::TouchData - Username: TEST-1; time_ms: 1599727849247; event: Move; X: 305.0; Y: 1625.0; Pressure: 0.85; Area: 0.14705883; TouchID: 3

1599727851449::TouchData - Username: TEST-1; time_ms: 1599727849263; event: Move; X: 305.0; Y: 1625.0; Pressure: 0.83750004; Area: 0.14705883; TouchID: 3

1599727851451::TouchData - Username: TEST-1; time_ms: 1599727849263; event: Move; X: 305.0; Y: 1625.0; Pressure: 0.83750004; Area: 0.14705883; TouchID: 3

1599727851453::TouchData - Username: TEST-1; time_ms: 1599727849280; event: Move; X: 305.0; Y: 1625.0; Pressure: 0.8125; Area: 0.13235295; TouchID: 3

1599727851455::TouchData - Username: TEST-1; time_ms: 1599727849280; event: Move; X: 305.0; Y: 1625.0; Pressure: 0.7875; Area: 0.13235295; TouchID: 3

1599727851457::TouchData - Username: TEST-1; time_ms: 1599727849280; event: Move; X: 305.0; Y: 1625.0; Pressure: 0.7875; Area: 0.13235295; TouchID: 3

1599727851459::TouchData - Username: TEST-1; time_ms: 1599727849297; event: Move; X: 305.0; Y: 1625.0; Pressure: 0.7375; Area: 0.13235295; TouchID: 3

1599727851461::TouchData - Username: TEST-1; time_ms: 1599727849297; event: Move; X: 305.0; Y: 1625.0; Pressure: 0.6875; Area: 0.13235295; TouchID: 3

1599727851463::TouchData - Username: TEST-1; time_ms: 1599727849297; event: Move; X: 305.0; Y: 1625.0; Pressure: 0.6875; Area: 0.13235295; TouchID: 3

1599727851465::TouchData - Username: TEST-1; time_ms: 1599727849305; event: Move; X: 305.0; Y: 1625.0; Pressure: 0.625; Area: 0.13235295; TouchID: 3

1599727851468::TouchData - Username: TEST-1; time_ms: 1599727849307; event: Up; X: 305.0; Y: 1625.0; Pressure: 0.625; Area: 0.13235295; TouchID: 3

1599727851470::TouchData - Username: TEST-1; time_ms: 1599727850047; event: Down; X: 1330.0; Y: 998.0; Pressure: 0.55; Area: 0.11764706; TouchID: 4

1599727851472::TouchData - Username: TEST-1; time_ms: 1599727850064; event: Move; X: 1309.0; Y: 999.0; Pressure: 0.6125; Area: 0.10294118; TouchID: 4

1599727851475::TouchData - Username: TEST-1; time_ms: 1599727850064; event: Move; X: 1308.4998; Y: 999.0; Pressure: 0.6125; Area: 0.10294118; TouchID: 4

1599727851477::TouchData - Username: TEST-1; time_ms: 1599727850080; event: Move; X: 1308.0; Y: 999.0; Pressure: 0.6125; Area: 0.10294118; TouchID: 4

1599727851479::TouchData - Username: TEST-1; time_ms: 1599727850080; event: Move; X: 1307.0; Y: 999.0; Pressure: 0.625; Area: 0.10294118; TouchID: 4

